stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504673.670855761,699.319439888,-0.003392740,0.007778002,0.000765123,0.014025619,-0.008832026,-0.004514950,0.999852435,0.027975422,-0.017789033,-0.008782322,0.012405796,0.000532936,-0.001696985
1778504673.768860817,699.417444944,-0.004216931,0.007682767,-0.001818822,0.014629341,-0.010095737,-0.004632453,0.999831285,0.029170371,-0.020325005,-0.008969928,0.005124166,0.000688875,-0.008055857
1778504673.868936300,699.517520428,-0.004826909,0.010637061,-0.001441195,0.013023474,-0.010724835,-0.003471772,0.999851646,0.025977561,-0.021538582,-0.006664759,0.000049730,0.015877464,-0.005057218
1778504673.932642698,699.581226826,-0.005711404,0.013547022,0.000978176,0.012871837,-0.013004348,-0.001796285,0.999830974,0.025704156,-0.026053490,-0.003258294,-0.008932226,0.025335169,0.001620588
1778504674.068807125,699.717391253,-0.007164797,0.014910277,0.001134390,0.015135432,-0.012434337,-0.003422995,0.999802275,0.030193752,-0.024969968,-0.006470300,-0.013826614,0.016465767,0.001166183
1778504674.169097424,699.817681551,-0.007051258,0.013218361,0.000101460,0.016365712,-0.012119325,-0.003234545,0.999787389,0.032661545,-0.024341771,-0.006072869,-0.010926418,0.001178380,-0.002009984
1778504674.236894608,699.885478735,-0.006476611,0.012133140,0.000292474,0.016929513,-0.010883900,-0.002043713,0.999795357,0.033822119,-0.021834279,-0.003718967,-0.005475592,-0.005819788,-0.001186130
1778504674.371794701,700.020378828,-0.007399886,0.008181482,-0.000933319,0.019078900,-0.010747695,-0.003996831,0.999752223,0.038080552,-0.021644265,-0.007583422,-0.006552989,-0.026341162,-0.004363975
1778504674.471937180,700.120521307,-0.007236461,0.007829260,-0.000591100,0.017522245,-0.010930527,-0.005331673,0.999772508,0.034935554,-0.022044712,-0.010280545,-0.004628085,-0.020035555,-0.002133681
1778504674.570979357,700.219563484,-0.007809666,0.006692634,-0.000902779,0.016052202,-0.009062864,-0.004950229,0.999817827,0.032019651,-0.018282369,-0.009609450,-0.001638114,-0.017105400,-0.002119454
1778504674.671326399,700.319910526,-0.005606233,0.006064004,-0.002068480,0.015351730,-0.009052669,-0.004674730,0.999830246,0.030623493,-0.018246806,-0.009071560,0.009600299,-0.012701461,-0.004436195
1778504674.750899553,700.399483681,-0.005045073,0.006730714,-0.002147361,0.014114001,-0.009436461,-0.003652098,0.999849194,0.028163611,-0.018974306,-0.007038047,0.009875833,-0.003251940,-0.003729014
1778504674.872271776,700.520855904,-0.003649370,0.007842880,-0.001772791,0.013260405,-0.009430801,-0.004057062,0.999859371,0.026448397,-0.018967683,-0.007864366,0.012315178,0.006607340,-0.001140043
1778504674.972414970,700.620999098,-0.002680477,0.008508999,-0.002484203,0.013322973,-0.009221837,-0.003780194,0.999861574,0.026580235,-0.018542911,-0.007314940,0.013679483,0.009435776,-0.002528291
1778504675.070816517,700.719400644,-0.001171936,0.009787651,-0.002037690,0.013441952,-0.008617791,-0.003149282,0.999867556,0.026833307,-0.017318830,-0.006066997,0.017818122,0.013328802,-0.000980304
1778504675.172392130,700.820976257,-0.000820190,0.011014647,-0.001942574,0.012803696,-0.010019496,-0.004374462,0.999858260,0.025524055,-0.020149533,-0.008492938,0.012064750,0.017593105,-0.000759160
1778504675.271409273,700.919993401,-0.001254993,0.011607067,-0.000480622,0.013961169,-0.010691700,-0.004988254,0.999832931,0.027821037,-0.021520773,-0.009678696,0.004853233,0.014461705,0.002813654
1778504675.366627216,701.015211344,-0.001654878,0.011345455,0.000779922,0.015768637,-0.012102674,-0.004941003,0.999790209,0.031425553,-0.024358504,-0.009501210,-0.002041984,0.005981614,0.004892616
1778504675.464957237,701.113541365,-0.004135251,0.012456837,0.000746075,0.016257080,-0.013226911,-0.003773217,0.999773234,0.032424098,-0.026573633,-0.007117234,-0.015326001,0.005938007,0.002882521
1778504675.561769009,701.210353136,-0.007121868,0.012120226,0.001628565,0.016036488,-0.013611181,-0.005933789,0.999761150,0.031921192,-0.027409606,-0.011432736,-0.026220957,0.001965476,0.004174993
1778504675.649674892,701.298259020,-0.008833774,0.010319920,0.004533027,0.017406431,-0.014488642,-0.005984877,0.999725601,0.034651567,-0.029181826,-0.011467212,-0.031426034,-0.009782541,0.010329892
