stamp_abs,stamp_rel,valid,deg,eig_min,cond,axial,lateral,local_length,width,height,global_length,conf,u_pos_count,u_neg_count,v_pos_count,v_neg_count,four_wall_fit_ok,geom_raw_count,geom_filtered_count,intensity_trim_used
1776866023.060328484,7.900225401,0,0,0.232212993,151.384595123,29.333333476,29.333333476,0.664926287,0.259570109,0.214160930,0.625028659,0.490232403,8,15,17,0,0,88,80,1
1776866023.160286903,8.000183821,1,0,0.282546026,184.860503053,25.481290226,42.759354915,0.635577551,0.264559566,0.212071900,0.625028659,0.589415543,7,22,12,0,0,111,101,1
1776866023.260718822,8.100615740,0,0,0.160671378,243.733680449,33.333333333,33.333333333,0.636184676,0.263696512,0.234893662,0.625028659,0.494473622,10,16,18,0,0,100,92,1
1776866023.360238314,8.200135231,0,0,0.172276962,248.606155808,34.000000006,34.000000006,0.465155624,0.351829007,0.298910896,0.625028659,0.497595500,11,11,19,0,0,102,92,1
1776866023.460314274,8.300211191,0,0,0.174812993,209.510761090,30.333333288,30.333333288,0.240056801,0.534363544,0.716127048,0.625028659,0.508185439,6,17,10,4,0,91,83,1
1776866023.560203552,8.400100470,1,0,0.146544872,285.919335680,23.336176326,37.331911765,0.801258919,0.271856703,0.225615040,0.625028659,0.532349566,8,18,22,0,0,98,88,1
1776866023.660994053,8.500890970,1,0,0.204494186,234.706964063,20.343578306,42.328211013,0.629893362,0.317219074,0.232230073,0.625028659,0.642874124,10,24,15,0,0,105,96,1
1776866023.758251190,8.598148108,1,0,0.155593888,271.283508160,20.288414198,36.355792985,0.810108964,0.279138160,0.203324501,0.625028659,0.624639727,9,15,18,0,0,93,84,1
1776866023.860286236,8.700183153,1,0,0.346969560,159.629972902,29.776653075,54.111673408,0.446199237,0.347722757,0.286816034,0.625028659,0.550682987,10,25,22,0,0,138,125,1
1776866023.960233212,8.800130129,1,0,0.346754278,166.669152309,31.513628259,55.243186232,0.464136863,0.290936994,0.293597274,0.625028659,0.543828152,9,23,19,1,0,142,127,1
1776866024.062399149,8.902296066,1,0,0.323421093,173.879415150,34.330886233,54.834556751,0.597311442,0.331195817,0.312319269,0.625028659,0.519116143,28,1,10,23,0,144,131,1
1776866024.160221815,9.000118732,0,0,0.437473413,157.391758709,54.666666363,54.666666363,0.565867165,0.407017807,0.322269570,0.625028659,0.589889253,1,24,7,32,0,164,148,1
1776866024.260337353,9.100234270,0,0,0.301154486,208.048572472,49.333333232,49.333333232,0.392724244,0.412527134,0.560035221,0.625028659,0.581564381,34,11,1,22,0,148,134,1
1776866024.361528158,9.201425076,1,0,0.332633102,169.362526615,29.341434013,54.329283115,0.591823828,0.290669118,0.304610453,0.625028659,0.571124909,12,22,2,18,0,138,124,1
1776866024.460008621,9.299905539,0,0,0.341442882,187.142292187,52.333333451,52.333333451,0.421487397,0.414270780,0.367987845,0.625028659,0.566498394,26,16,1,19,0,157,141,1
1776866024.560307264,9.400204182,0,0,0.289161412,216.604322891,47.333333583,47.333333583,0.359181252,0.529441514,0.459198677,0.625028659,0.624016947,17,3,8,19,0,142,127,1
1776866024.660574436,9.500471354,1,0,0.283694489,209.565311951,26.798278319,55.100860913,0.536102072,0.302926669,0.269415610,0.625028659,0.618694448,23,14,0,15,0,137,123,1
1776866024.760274887,9.600171804,0,0,0.285364006,211.789622720,50.333333366,50.333333366,0.405537714,0.425985461,0.321904178,0.625028659,0.508399208,26,5,13,22,0,151,138,1
1776866024.860438824,9.700335741,0,0,0.245080889,195.690464065,38.666666676,38.666666676,0.247742062,0.352020840,0.537770664,0.625028659,0.588774493,12,6,1,13,0,116,107,1
1776866024.960294247,9.800191164,0,0,0.397963716,173.960551546,53.333333230,53.333333230,0.383795756,0.383683006,0.591070159,0.625028659,0.582806121,26,10,4,23,0,160,146,1
1776866025.060252905,9.900149822,1,0,0.332448292,208.145974464,33.983548794,61.008225536,0.629998745,0.260777797,0.270212262,0.625028659,0.588818396,19,23,0,18,0,156,140,1
1776866025.160354137,10.000251055,1,0,0.343208670,192.491416203,29.645914964,59.677042593,0.417509028,0.259351373,0.275358968,0.625028659,0.576019890,28,6,6,18,1,149,136,1
1776866025.260354042,10.100250959,1,0,0.136537719,227.141525735,19.773895438,30.113052062,0.795379225,0.275734271,0.213738477,0.625028659,0.518488535,15,5,1,21,0,80,72,1
1776866025.360347033,10.200243950,1,0,0.164779248,194.302694814,18.375804126,30.312097843,0.542124390,0.284119327,0.278624600,0.625028659,0.520763329,13,7,0,13,0,79,71,1
1776866025.460343361,10.300240278,0,0,0.218455691,162.223576538,30.666666699,30.666666699,0.669249401,0.306498065,0.266724156,0.625028659,0.429104358,16,6,0,18,0,92,82,1
1776866025.560381174,10.400278091,0,0,0.278858723,191.846368008,40.333333373,40.333333373,0.678438971,0.282255057,0.204265877,0.625028659,0.486457255,18,8,0,15,0,121,109,1
1776866025.660413504,10.500310421,0,0,0.258543194,162.746804829,33.000000167,33.000000167,0.758622448,0.308273399,0.226395889,0.625028659,0.494763336,26,6,1,13,0,99,89,1
1776866025.760241508,10.600138426,1,0,0.180346254,236.232923861,23.432821833,36.783589187,0.858026181,0.308130410,0.232562506,0.625028659,0.599418885,24,7,0,21,0,97,89,1
1776866025.860137701,10.700034618,1,0,0.144061899,259.843245638,20.648634289,33.675682924,0.521134058,0.270174725,0.265351616,0.625028659,0.524066963,14,8,0,11,0,88,79,1
1776866025.960265398,10.800162315,0,0,0.194733469,214.113643353,32.999999995,32.999999995,0.250328077,0.385511391,0.676608791,0.625028659,0.527154169,17,10,3,9,0,99,89,1
1776866026.060372829,10.900269747,1,0,0.171061146,230.387527462,22.965513785,35.017242883,0.456226976,0.312227250,0.360784822,0.625028659,0.511325938,19,11,1,7,0,93,83,1
1776866026.160301685,11.000198603,0,0,0.119476733,243.614955674,25.333333275,25.333333275,0.320475461,0.223405401,0.482689636,0.625028659,0.427292227,11,5,1,9,0,76,68,1
1776866026.260280371,11.100177288,1,0,0.260865582,184.309045530,23.781912014,40.109043980,0.786460585,0.308441132,0.228149618,0.625028659,0.559049051,21,7,0,22,0,104,95,1
1776866026.360397339,11.200294256,0,0,0.167874340,225.271371824,28.000000064,28.000000064,0.266053755,0.406651433,0.507413444,0.625028659,0.546335142,10,10,3,8,0,84,76,1
1776866026.460402727,11.300299644,1,0,0.180576807,193.848759108,19.799378738,33.600310564,0.427693701,0.275579071,0.328713786,0.625028659,0.535165274,15,5,2,9,0,87,78,1
1776866026.560266495,11.400163412,0,0,0.301718152,199.065535788,45.666666247,45.666666247,0.594905291,0.323414943,0.269694503,0.625028659,0.489037367,29,8,1,16,0,137,123,1
1776866026.660378218,11.500275135,0,0,0.332680229,205.354680908,53.999999612,53.999999612,0.269837506,0.282831195,0.753191196,0.625028659,0.595108377,22,12,1,17,0,162,145,1
1776866026.760384560,11.600281477,1,0,0.290668088,210.551899400,31.739615466,53.130192245,0.370922642,0.265263281,0.335229189,0.625028659,0.516700190,17,12,0,19,0,138,126,1
1776866026.860296965,11.700193882,0,0,0.323360545,200.417785319,51.333333229,51.333333229,0.429769452,0.294205778,0.407718492,0.625028659,0.559908901,6,27,3,22,0,154,139,1
1776866026.960363150,11.800260067,1,0,0.343507153,180.825616470,32.043425141,55.478287076,0.383234053,0.278403104,0.301033784,0.625028659,0.516292708,26,8,6,19,1,143,128,1
1776866027.060279369,11.900176287,0,0,0.228417355,183.490784425,33.000000065,33.000000065,0.180125673,0.391427067,0.926914275,0.625028659,0.555778118,15,8,4,11,0,99,89,1
1776866027.160292387,12.000189304,1,0,0.337219590,179.547478819,29.520325066,57.239837555,0.538621917,0.332775320,0.267573317,0.625028659,0.591946066,27,12,0,17,0,144,129,1
1776866027.260454893,12.100351810,0,0,0.360435002,213.406130039,58.666666416,58.666666416,0.320253618,0.502070150,0.548583005,0.625028659,0.576787228,10,25,5,33,0,176,160,1
1776866027.360350132,12.200247049,1,0,0.282229720,205.970677206,27.101566738,51.949217115,0.413374109,0.305254411,0.265058301,0.625028659,0.578846869,16,11,0,14,0,131,120,1
1776866027.460253000,12.300149918,0,0,0.239485234,207.780823542,36.666666739,36.666666739,0.301668951,0.651190666,0.552392666,0.625028659,0.579045230,10,7,5,13,0,110,99,1
1776866027.560405016,12.400301933,1,0,0.175263080,219.650628945,19.164058045,35.917970748,0.622534589,0.310003544,0.289663789,0.625028659,0.591812110,13,9,0,18,0,91,82,1
1776866027.660266638,12.500163555,1,0,0.149859027,253.896303958,20.378209187,31.810895098,0.474994786,0.328304788,0.377327337,0.625028659,0.506053023,15,10,8,3,0,84,77,1
